nom;Eau;Protéines;Glucides;Lipides;Sucres;Fibres alimentaires;AG saturés;Sel
Dessert (aliment moyen);45,4;4,61;36,6;12,9;23,7;1,54;5,18;0,38
Salade de thon et légumes, appertisée;76,5;9,15;7,74;4,7;3,08;2,7;0,56;1,11
Salade composée avec viande ou poisson, appertisée;76,7;8,06;6,4;5,3;1,9;2;0,16;0,95
Champignons à la grecque, appertisés;85,2;2,08;3,95;3,55;2,38;2,35;0,23;1,26
Salade de pommes de terre, fait maison;76;2,68;9,9;8,2;;1,3;1,43;1,32
Taboulé ou Salade de couscous, préemballé;60,3;4,88;23,7;6,7;4,9;2,5;0,67;1
Salade de pomme de terre à la piémontaise, préemballée;75,8;4,5;8,87;8,3;1,2;0,5;0,82;1,08
Salade de riz, appertisée;72,5;5,13;16,1;4,35;1;1,7;0,53;1,1
Salade de pâtes, végétarienne;72,6;5,7;13,7;8,1;2,3;1,7;2,37;1,04
Crudité, sans assaisonnement (aliment moyen);93,2;0,94;3,07;0,7;2,27;1,51;0,12;0,031
Salade de pâtes aux légumes, avec poisson ou viande, préemballée;70,5;5,19;14;9,94;2,16;1,98;1,74;0,95
Macédoine de légumes en salade, avec sauce, préemballée;78,3;2,81;7;9,3;2,3;4,11;0,7;1,04
Salade César au poulet (salade verte, fromage, croûtons, sauce), préemballée;71,8;8,13;4,88;10;1,71;2;2,36;0,75
Salade végétale à base de boulgour et/ou quinoa et légumes, préemballée;65,5;4,06;17,4;8,3;4,61;3,3;0,92;0,77
